;;Entering passengers;;;;;;;;;Leaving passengers;;;;;;;;
Date;Departure;AZU;Heidelberglaan;Padualaan;De Kromme Rijn;Stadion Galgenwaard;Rubenslaan;Sterrenwijk;Bleekstraat;CS Centrumzijde;AZU;Heidelberglaan;Padualaan;De Kromme Rijn;Stadion Galgenwaard;Rubenslaan;Sterrenwijk;Bleekstraat;CS Centrumzijde
3-9-2015;10:45-10:59;499;1;2;6;5;6;1;0;0;0;17;4;17;12;32;195;147;96
3-9-2015;11:00-11:14;104;6;3;3;3;0;0;0;0;0;5;4;5;4;7;53;36;5
3-9-2015;11:15-11:29;80;3;1;1;4;0;0;0;0;0;4;2;3;9;4;25;42;0
3-9-2015;11:30-11:44;113;3;0;4;5;3;0;0;0;0;3;5;0;13;11;48;40;8
3-9-2015;11:45-11:59;66;6;0;2;3;0;1;0;0;0;3;9;4;0;7;26;19;10
3-9-2015;12:00-12:14;346;11;4;1;3;0;0;0;0;0;15;8;12;8;10;190;113;9
3-9-2015;12:15-12:29;209;1;0;0;6;2;0;0;0;0;4;1;4;8;13;93;86;9
3-9-2015;12:30-12:44;331;5;4;8;6;2;3;0;0;0;11;1;5;18;21;130;163;10
3-9-2015;12:45-12:59;225;4;3;5;4;10;1;0;0;0;22;7;10;3;12;92;101;5
3-9-2015;13:00-13:14;131;2;2;2;1;0;0;0;0;0;39;2;13;1;4;43;35;1
3-9-2015;13:15-13:29;118;1;2;0;6;0;0;0;0;0;12;5;13;7;4;38;40;8
3-9-2015;13:30-13:44;113;2;2;2;8;0;0;0;0;0;10;2;7;9;16;39;33;11
3-9-2015;13:45-13:59;70;2;1;1;4;0;0;0;0;0;4;3;5;4;2;30;22;8
3-9-2015;14:00-14:14;57;3;1;4;2;0;3;0;0;0;2;1;6;6;2;15;32;6
3-9-2015;14:15-14:29;95;6;1;3;2;0;0;0;0;0;6;3;2;4;4;26;56;6
3-9-2015;14:30-14:44;62;2;0;0;0;13;2;0;0;0;2;0;3;5;2;18;45;4
3-9-2015;14:45-14:59;68;3;0;0;0;0;0;0;0;0;1;0;5;7;4;28;25;1
3-9-2015;15:00-15:14;20;3;0;2;3;1;0;0;0;0;3;1;0;3;1;7;11;3
3-9-2015;15:15-15:29;112;2;0;3;2;1;1;0;0;0;5;11;12;8;2;39;35;9
3-9-2015;15:30-15:44;7;5;1;2;0;0;0;0;0;0;2;1;0;0;0;2;6;4
3-9-2015;15:45-15:59;66;2;2;9;3;6;0;0;0;0;4;1;11;5;1;39;18;9
3-9-2015;16:00-16:14;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
3-9-2015;16:15-16:29;66;2;0;1;4;1;0;0;0;0;5;8;12;2;4;13;21;9
3-9-2015;16:30-16:44;40;8;2;3;6;0;0;1;0;0;4;4;11;3;5;8;17;8
3-9-2015;16:45-16:59;46;2;0;2;3;7;0;0;0;0;2;2;5;4;2;12;25;8
3-9-2015;17:00-17:14;23;2;0;2;3;2;0;0;0;0;1;1;4;2;0;11;9;4
3-9-2015;17:15-17:29;25;2;0;3;0;0;1;0;0;0;2;4;4;4;1;1;14;1
3-9-2015;17:30-17:44;20;1;0;1;0;1;0;0;0;0;0;1;3;3;2;4;10;0
3-9-2015;17:45-17:59;26;4;0;0;3;0;0;0;0;0;3;7;5;2;0;1;13;2
3-9-2015;18:00-18:14;34;1;3;0;2;0;0;0;0;0;3;1;5;0;8;4;17;2
3-9-2015;18:15-18:29;23;3;0;0;1;0;0;0;0;0;2;2;8;2;2;5;5;1
3-9-2015;18:30-18:44;31;1;0;0;1;1;0;0;0;0;1;3;10;5;1;3;9;2
3-9-2015;18:45-18:59;17;1;0;0;0;0;0;0;0;0;3;1;3;3;0;0;8;0
3-9-2015;19:00-19:14;35;0;0;2;2;1;0;0;0;0;5;4;9;4;1;1;13;3
3-9-2015;19:15-19:29;11;0;0;0;0;0;0;0;0;0;3;1;3;3;0;0;1;0
3-9-2015;19:30-19:44;21;0;0;0;0;0;0;0;0;0;3;4;5;5;1;0;2;1
3-9-2015;19:45-19:59;23;0;0;0;0;0;0;0;0;0;1;6;8;3;0;1;4;0
3-9-2015;20:00-20:14;10;1;0;1;0;0;0;0;0;0;0;1;4;2;1;0;4;0
3-9-2015;20:15-20:29;12;0;0;0;3;0;0;0;0;0;0;2;5;1;2;0;5;0
3-9-2015;20:30-20:44;11;2;0;0;0;0;0;0;0;0;1;0;6;2;3;0;1;0
3-9-2015;20:45-20:59;13;0;0;0;0;0;0;0;0;0;1;0;1;5;0;0;6;0
3-9-2015;21:00-21:14;8;3;0;0;1;0;0;0;0;0;1;0;3;3;2;0;3;0
3-9-2015;21:15-21:29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3-9-2015;21:30-21:44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3-9-2015;21:45-21:59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4-9-2015;6:00-6:14;6;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;3
